Table with row headers in column A and column headers in rows 8 through 9 and 63 through 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-8. Median Household Income by State: 1984 to 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar24.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes are available at <www.census.gov/topics/income-poverty/income/guidance/cps-historic-footnotes.html>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 1985 to 2024 Annual Social and Economic Supplements (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Households as of March of the following year. Income in current and 2023 C-CPI-U (2000-2023) and R-CPI-U-RS (pre-2000) adjusted dollars (28). Beginning in 2010, standard errors were calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,2023,,2022,,2021,,2020 (41),,2019,,2018,,2017 (40),,2017,,2016,,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004 (revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
Hawaii,"97,360","4,928","91,010","3,712","82,200","3,790","80,830","2,427","88,010","3,565","80,110","3,482","73,600","2,352","73,580","2,227","72,130","2,510","64,510","2,840","71,220","2,676","64,240","3,918","61,410","2,207","56,260","2,255","59,050","2,531","59,540","2,731","55,650","2,023","61,520","1,481","64,020","2,125","60,470","1,571","59,590","1,212","56,240","1,690","51,830","1,332","47,300","1,371","47,440","1,256","51,550","1,193","44,500","1,832","40,830","2,369","40,930","1,399","41,770","1,893","42,850","1,292","42,260","2,423","42,660","1,759","42,110","1,435","37,250","1,630","38,920","1,414","35,040","1,328","33,020","1,482","35,020","1,074","29,000","1,206","28,960","1,446","28,880","1,216"
Idaho,"73,910","2,417","72,580","2,657","76,920","1,837","66,730","1,988","65,990","2,152","58,730","2,405","59,500","2,259","60,210","2,400","56,560","1,261","51,620","1,260","53,440","2,572","48,470","5,484","51,770","3,656","47,920","3,173","47,460","3,488","47,050","1,869","46,780","1,264","47,420","1,681","49,180","1,291","46,210","1,312","44,180","1,254","44,360","1,387","42,370",982,"37,720","1,121","38,240",966,"37,610","1,192","35,800","1,413","36,680","1,090","33,400","1,339","34,710","1,341","32,680","1,116","31,540","1,278","31,010","1,323","27,700",874,"26,120","1,029","25,310",975,"24,650",953,"23,450","1,004","20,760",834,"20,750",680,"20,760",598,"21,090",963
Illinois,"87,820","3,527","78,020","2,365","79,250","1,771","74,330","2,227","74,400","2,625","70,150","2,253","65,970","1,667","64,610","1,999","61,390","1,761","60,410","1,999","54,920","1,625","53,940","3,287","57,200","1,744","51,740","1,328","50,640","1,374","50,730","1,474","52,870",941,"53,250","1,325","52,510",950,"48,670","1,167","48,400",986,"46,080",823,"45,150","1,072","42,710",856,"46,170",879,"46,060",966,"46,330","1,028","43,180","1,234","41,280",782,"39,550","1,107","38,070",875,"35,080",799,"32,860",810,"31,550",752,"31,880",714,"32,540",724,"31,300",623,"29,520",754,"27,080",536,"26,510",634,"24,870",523,"23,750",567
Indiana,"76,910","3,445","70,030","2,717","70,190","2,519","66,810","4,176","66,690","3,112","59,890","1,997","58,770","1,655","58,870","2,026","56,090","2,877","51,980","1,682","48,060","1,943","49,460","4,508","50,550","3,220","46,160","1,787","44,450","2,309","46,140","2,573","44,310","1,085","46,520","1,185","47,450","1,255","45,410","1,236","42,440","1,100","42,330","1,151","42,430",959,"41,050",748,"40,380",948,"40,870",679,"40,840","1,719","39,730","1,589","38,890","1,183","35,150","1,298","33,390","1,444","27,860","1,032","29,480","1,361","28,530","1,315","27,090",922,"26,930","1,099","25,900","1,022","26,290",931,"22,520",944,"22,730",709,"22,680",626,"22,770",710
Iowa,"80,860","4,593","76,320","3,355","72,430","3,508","68,820","3,347","66,050","4,009","68,720","2,910","63,470","4,760","63,480","5,512","59,090","2,484","60,860","3,275","57,810","3,425","60,160","6,134","54,860","1,967","53,440","2,138","50,220","1,974","49,020","1,342","50,720","1,535","50,140","1,293","48,910","1,451","48,130","1,491","46,500","1,339","43,390","1,521","41,380",884,"41,050","1,152","40,980","1,133","40,990",811,"41,100","1,130","37,020","1,202","33,780","1,282","33,210","1,527","35,520",942,"33,080","1,280","28,660","1,240","28,740",972,"28,550","1,012","27,290",986,"26,270",792,"24,310","1,078","22,190",912,"22,460",750,"20,930",604,"19,860",745
Kansas,"84,830","5,520","73,040","3,440","75,980","4,213","73,080","3,632","73,150","4,329","63,940","2,027","56,900","1,937","57,870","2,898","56,810","3,268","54,870","3,731","53,440","2,863","47,820","4,496","51,490","1,498","50,000","1,812","46,150","1,950","46,050","1,816","44,720","1,788","47,880","1,410","48,500","1,805","45,550","1,252","42,030",985,"41,070","1,749","44,230","1,326","42,620","1,047","41,420","1,115","41,060","1,168","37,350","2,078","36,710","1,617","36,470","1,614","32,590","1,460","30,340",921,"28,320","1,064","29,770","1,144","30,350","1,137","29,300",934,"29,920","1,179","26,860",908,"25,570","1,153","25,580",900,"23,930",782,"22,790","1,033","24,630",912
Kentucky,"61,980","3,789","55,870","4,060","55,630","3,025","56,760","2,353","55,660","2,553","54,560","3,668","49,670","1,885","51,350","1,364","45,370","2,005","42,390","2,269","42,790","1,580","44,880","3,924","42,160","1,874","41,090","1,900","39,860","1,847","41,100","2,823","42,660","1,313","41,150",812,"39,450","1,211","39,490","1,051","36,700",898,"35,610","1,218","36,940",857,"36,760",874,"38,440","1,009","36,270",848,"33,740","1,484","36,250","1,511","33,450","1,659","32,410","1,439","29,810","1,149","26,600","1,028","24,380","1,091","23,490","1,259","23,760","1,046","24,780","1,213","23,280","1,206","19,910",801,"20,670",939,"19,870","1,006","17,360",748,"17,680","1,079"
Louisiana,"57,650","2,368","58,320","2,024","57,210","2,879","51,190","1,602","51,710","1,412","49,970","1,754","43,570","2,088","43,900","1,453","42,200","1,197","45,920","2,140","42,410","1,862","46,430","2,543","39,620","2,857","39,090","1,611","40,660","1,929","39,300","3,248","45,430","1,813","39,560","1,486","41,310",937,"36,490","1,425","37,240","1,297","36,430","1,243","33,510","1,103","34,010","1,258","33,320","1,195","30,720",828,"32,650","1,244","31,740","1,660","33,260","1,551","30,260","1,290","27,950","1,090","25,680","1,501","26,310","1,164","25,440","1,142","25,300","1,156","22,410","1,580","22,860","1,857","20,500","1,474","21,350",858,"20,890",956,"21,180",728,"18,950",880
Maine,"75,740","4,165","75,160","3,545","71,140","3,092","63,690","3,437","66,550","5,002","58,660","5,683","53,320","3,121","51,660","2,146","50,860","3,346","50,760","1,929","51,710","2,171","54,960","3,863","50,120","1,953","49,160","2,247","49,690","1,983","47,930","1,687","47,500","1,739","47,230","1,436","47,890","1,398","45,640","1,797","43,920","1,433","41,330","1,223","37,110",945,"36,850",846,"36,610",952,"37,270",853,"38,860","1,319","35,640","1,049","32,770","1,301","34,700","1,211","33,860","1,088","30,320","1,537","27,440","1,203","29,620","1,026","27,870","1,253","27,460","1,572","28,220","1,389","26,400",942,"23,600","1,019","23,420",970,"20,520",803,"20,650",884
Maryland,"102,000","5,939","108,200","5,355","97,330","4,492","94,790","4,236","95,570","3,284","86,220","3,331","82,090","3,643","81,080","3,652","73,760","2,591","73,590","2,692","76,170","4,272","69,350","2,970","65,260","4,386","71,840","1,851","68,880","2,125","64,200","2,297","64,190","1,674","63,710","1,769","65,630","1,661","63,670","1,601","60,510","1,477","57,100","1,692","52,310","1,223","56,410","1,532","53,530","1,652","54,540","1,400","52,210","2,217","50,020","2,161","46,690","1,476","43,990","2,565","41,040","1,627","39,200","1,400","39,940","1,282","37,200","1,626","36,950","1,417","38,860","1,596","36,020","1,187","36,550","1,196","34,970","1,388","30,600","1,036","30,140",966,"29,710","1,151"
Massachusetts,"106,500","3,118","93,550","3,280","86,570","4,099","87,810","6,327","87,710","2,828","86,350","2,785","76,240","2,394","73,230","3,328","72,270","2,911","67,860","2,790","63,150","2,662","62,530","5,303","62,960","3,456","63,660","3,773","63,310","3,226","60,930","2,193","59,370","1,749","60,320","1,674","58,460","2,231","55,330","2,079","56,020","1,754","52,020","1,667","50,960",953,"49,860","1,153","52,250","1,518","46,750","1,357","44,010","2,023","42,350","1,961","42,020","1,383","39,490","1,932","38,570","1,475","40,500","1,060","37,060",949,"36,360",738,"35,710",790,"36,250",828,"36,090",704,"33,210",839,"32,240",716,"30,340",735,"28,210",810,"26,960",693
Michigan,"76,960","2,965","68,990","2,794","64,490","3,819","64,390","3,191","64,120","1,680","60,450","1,906","56,410","2,286","57,700","2,337","57,090","1,908","54,200","2,005","52,010","1,199","56,570","1,587","48,800","2,229","50,020","1,515","48,880","1,844","46,280","1,737","45,990","1,003","49,790","1,154","49,370",798,"48,650",966,"45,930",915,"42,260",858,"45,020",950,"42,720","1,115","45,050",868,"45,510","1,095","46,090","1,026","41,820",917,"38,740","1,108","39,230","1,143","36,430",994,"35,280",685,"32,660",682,"32,270",761,"32,120",689,"29,940",663,"30,780",790,"29,470",607,"27,700",724,"26,610",648,"24,240",838,"22,970",635
Minnesota,"90,340","3,160","90,390","4,307","80,440","5,050","78,750","3,393","81,430","2,988","71,820","3,656","69,980","4,649","71,920","2,991","70,220","4,045","68,730","3,063","67,240","3,207","64,320","3,992","60,910","1,843","61,800","1,339","57,820","2,380","52,320","1,606","56,090","1,237","54,930","1,427","58,060","1,888","56,210","1,218","54,220","1,244","56,100","1,070","52,820","1,228","54,620","1,196","52,680","1,134","54,250","1,703","47,040","1,527","47,930","2,115","42,560","1,510","40,990","1,225","37,930","1,848","33,640","1,360","33,680","1,212","30,980","1,297","29,480","1,146","31,470","1,028","30,190","1,278","29,090","1,041","28,080","1,113","26,440","1,150","23,860","1,022","24,440",914
Mississippi,"55,060","2,393","48,610","2,427","46,640","1,805","45,130","2,623","44,790","2,997","42,780","2,304","43,280","1,795","43,440","2,204","41,100","1,226","40,040","1,071","35,520","1,294","32,340","2,730","40,850","2,144","36,640","1,546","41,090","2,366","38,160","2,830","35,080","1,304","36,450",830,"37,280",951,"34,730","1,583","32,880","1,292","34,760","1,132","32,730","1,113","30,880",766,"30,160","1,186","34,300","1,354","32,480","1,408","29,120","1,158","28,500","1,386","26,680","1,316","26,540","1,028","25,400",752,"22,190","1,229","20,570","1,074","19,480","1,053","20,180",802,"19,920",947,"18,170",888,"18,510",901,"16,510",639,"16,410",619,"15,430",732
Missouri,"78,290","3,669","71,520","4,037","63,590","2,710","62,180","2,715","60,600","2,932","61,730","2,442","56,530","2,333","56,890","2,611","55,020","1,719","59,200","2,607","56,630","3,030","46,300","4,134","50,310","3,698","49,760","2,042","45,770","2,157","45,820","2,157","48,770","1,595","46,040","1,146","46,010","1,104","44,580","1,402","42,990",989,"42,140","1,073","43,760",875,"42,780","1,074","41,340","1,204","45,100","1,187","41,380","1,191","40,200","1,868","36,550","2,060","34,270","1,513","34,830","1,373","30,190","1,442","28,680","1,466","27,360","1,451","27,930","1,415","27,330","1,394","26,500",746,"23,440","1,088","23,720","1,167","21,930",772,"21,940",608,"20,780",715
Montana,"79,220","4,070","72,970","2,878","65,000","5,000","56,740","2,497","60,190","2,294","57,680","2,876","57,410","2,223","59,090","2,589","57,080","2,880","51,400","2,937","51,100","1,778","43,200","5,946","44,130","3,252","45,090","2,565","40,280","2,036","41,280","1,847","40,440","1,002","42,900","1,764","43,660","1,699","41,110",697,"37,310","1,161","33,960",709,"34,110","1,067","34,840","1,212","32,130",737,"32,780","1,001","31,040",966,"31,580","1,133","29,210","1,145","28,680","1,566","27,760","1,105","27,630","1,246","26,470",965,"26,530",728,"24,830",890,"23,380",983,"23,690","1,311","22,230",829,"20,470",799,"20,330",749,"20,240",800,"19,540",720
Nebraska,"89,190","4,239","78,360","3,148","78,110","3,963","72,250","2,453","73,070","3,259","67,580","3,933","59,580","2,790","59,620","2,848","59,370","2,678","60,470","2,937","56,870","2,254","57,620","4,217","53,770","1,815","52,200","2,699","55,620","2,693","52,500","1,761","49,600","1,657","50,730","1,254","49,170","1,379","48,150","1,490","47,920","1,447","43,790","1,332","43,970","1,306","42,800","1,038","43,610","1,116","41,750","1,018","38,630","1,366","36,410","1,549","34,690","1,528","34,010","1,500","32,930","1,155","31,790","1,116","31,010",833,"30,050","1,071","29,550","1,007","27,480","1,128","26,320","1,521","25,160",960,"23,270",761,"21,770",814,"21,800",914,"21,400",765
Nevada,"81,310","3,631","72,330","3,554","64,340","3,500","61,160","2,427","70,910","3,465","61,860","2,116","58,040","2,952","56,550","3,039","55,430","2,137","52,010","2,272","49,880","1,836","51,850","3,178","45,370","2,830","47,330","2,533","47,040","2,669","51,200","1,922","51,430","1,097","54,740","2,658","54,060","1,294","52,280","1,252","48,210","1,680","47,200","1,382","45,180","1,554","44,960","1,161","45,400","1,130","45,760","1,011","41,460","1,764","39,760","1,225","38,850","1,576","38,540","1,615","36,080","1,314","35,870","1,534","35,810","1,078","31,910",796,"32,940","1,564","32,020","1,179","29,340",948,"27,980",956,"26,880","1,128","26,220",895,"23,270","1,005","25,780","1,018"
New Hampshire,"98,780","4,779","84,970","5,553","88,840","4,818","88,890","3,481","86,900","2,721","81,350","3,394","75,630","3,941","74,800","3,041","76,260","2,913","75,680","3,519","73,400","3,253","69,100","3,967","71,320","3,261","67,820","2,224","65,880","1,652","66,630","1,651","64,130","1,856","66,180","3,204","67,580","1,846","61,970","1,479","56,980","2,026","56,820","1,324","55,570","1,304","55,320","1,289","51,330",719,"50,930","1,243","46,060","1,952","44,960","1,866","41,000","1,604","39,410","1,734","39,170","1,556","35,250","1,837","37,960","1,620","39,440","1,922","36,030","1,339","40,810","1,313","37,530","1,371","34,630","1,129","32,340","1,450","30,550",829,"26,400","1,074","25,910",735
New Jersey,"91,590","4,838","92,340","3,453","88,560","4,751","85,550","4,056","87,730","4,069","74,180","2,845","71,240","4,129","73,000","2,999","68,470","2,867","68,360","3,132","65,240","2,693","63,750","4,464","61,780","3,058","66,690","1,960","62,340","3,028","62,970","2,443","64,780","1,919","65,310","2,297","60,510","1,458","68,060","1,979","63,370","2,257","55,280","1,283","56,050","1,023","54,570","1,605","51,770",933,"50,410",991,"49,730","1,405","49,830","1,436","48,020","1,424","47,470","1,217","43,920","1,400","42,280","1,064","40,500",986,"39,000",841,"40,050","1,033","38,730",864,"39,120",948,"36,290",658,"34,240",794,"31,720",842,"30,980",643,"27,780",800
New Mexico,"60,980","2,663","56,420","2,348","53,460","3,142","50,910","1,719","53,110","2,196","48,280","2,202","45,600","1,826","47,860","1,969","48,450","2,961","45,120","2,885","46,690","3,312","40,170","4,408","42,130","2,670","43,420","2,267","41,980","2,154","45,130","3,016","43,540","1,494","42,100","1,381","44,360","1,474","40,030","1,257","38,950","1,700","39,560","1,584","35,110","1,142","35,460","1,061","33,120","1,238","35,090","1,248","32,570","1,746","31,540","1,398","30,090","1,157","25,090","1,091","25,990","1,100","26,910","1,382","26,760",853,"25,860","1,347","26,540","1,195","25,040","1,048","22,600","1,029","19,300",833,"20,760",621,"19,850",693,"20,420","1,025","20,630","1,029"
New York,"81,600","1,979","75,910","2,009","72,920","2,771","68,660","2,397","71,850","1,699","67,270","1,722","61,540","1,722","62,450","2,093","61,440","1,405","58,010","2,205","54,310","1,781","49,970","2,267","53,840","1,642","47,680","1,585","50,640","1,006","49,780","1,320","50,220",599,"50,460",682,"48,940",918,"48,220",989,"47,180",827,"44,650",792,"42,790",872,"41,970",580,"42,110",600,"40,740",581,"39,990",879,"37,390",777,"35,800",634,"35,410",746,"33,030",716,"31,900",477,"31,700",556,"31,050",529,"31,790",538,"31,590",511,"31,500",453,"28,920",668,"26,380",456,"25,030",474,"23,640",523,"22,030",417
